username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
bombooleii,Publishers,1221,303,False,False,5,http://fb.com/Bilguunbombo,100,81.0,3.25
jamieandrewconway,,105,335,False,True,0,,4,0,0
_edphoto_,,63,33,False,False,0,,9,25.555555555555557,0.2222222222222222
gianluca_dragone,,148,193,False,False,1,,6,61.666666666666664,3.6666666666666665
chloerupin,,115,204,False,True,0,,0,0,0
elijahs0519,Creators & Celebrities,241,258,False,False,0,http://jayhaulz.myshopify.com/,61,75.08333333333333,2.5833333333333335
slee_62,,102,174,False,False,2,,57,29.333333333333332,1.8333333333333333
kndj311,,153,355,False,False,0,,20,20.083333333333332,1.5833333333333333
dannychen613,,303,351,False,False,2,,11,56.36363636363637,8.545454545454545
xu.0228,Creators & Celebrities,441,692,False,False,6,http://Xiaoxuhuang0228.sarahah.com/,249,119.83333333333333,4.916666666666667
nwdikdik,,266,526,False,False,0,,258,36.583333333333336,0.5833333333333334
geoluis75,Creators & Celebrities,824,421,False,False,6,,36,106.91666666666667,3.4166666666666665
pap_iel,,175,186,False,False,0,,12,56.333333333333336,6.0
pgbcy,,202,257,False,False,4,,35,38.416666666666664,1.9166666666666667
project_atl,General Interest,92,103,False,False,0,,51,30.0,1.3333333333333333
aescobarr1,,583,609,False,True,0,,33,0,0
fatih12203,,137,165,False,True,0,,42,0,0
loading.photography,,16,60,False,False,0,,20,35.083333333333336,1.5
ryan.mcmanimie,,400,212,False,False,5,,147,100.0,6.5
jason_wolf94,Creators & Celebrities,1621,242,False,False,4,https://www.youtube.com/channel/UCdi2opWfa8aisvo9gLsBijA,305,132.0,3.4166666666666665
karloz.leon,General Interest,12733,7492,False,False,2,,76,578.5,0.4166666666666667
__hannahs__photos__,Creators & Celebrities,75,62,False,False,5,https://aaronwebsites.wixsite.com/travelblog,39,17.5,0.5
ercphotographie,Local Events,162,289,False,False,0,,167,10.666666666666666,0.6666666666666666
rob_the_photo,,448,737,False,False,6,https://soundcloud.com/sw_smith,442,65.41666666666667,4.916666666666667
trash.katt,,895,6326,False,False,0,http://PositiveFocusPhotography.tumblr.com/,263,255.33333333333334,8.0
jeremiemellul,,1319,1004,False,False,2,,282,347.0,10.833333333333334
tarzack,,141,185,False,False,0,,48,20.666666666666668,2.6666666666666665
head.phoshot,General Interest,899,4006,False,False,3,http://www.headphoshot.com/,171,104.25,2.0
muftuogluhasan,,302,554,False,True,0,,12,0,0
ngocminhins,,331,258,False,False,0,,185,22.5,0.3333333333333333
strecheleonard,,111,181,False,False,0,,35,11.666666666666666,0.08333333333333333
davidnaveen28,,65,32,False,False,0,,10,3.5,0.0
machikupix,,0,10,False,True,0,,35,0,0
dwight_headley,Home Services,469,1536,False,False,5,http://www.fb.com/dwightPhotography,52,42.333333333333336,8.0
youcancallme_jamie,,412,758,False,False,9,,314,60.5,3.9166666666666665
diamonds4mules,,2005,2277,False,False,18,https://soilcarboncoalition.org/R2R/,359,80.0,2.25
itsamirrrr,,314,1201,False,False,1,,179,38.0,1.5
shockercontrol,,399,1263,False,True,0,,178,0,0
skylmay,,160,217,False,False,1,,52,45.75,1.0
emmanuelgraphy,Creators & Celebrities,73,34,False,False,0,,12,31.25,0.9166666666666666
monochromer_11,,86,128,False,False,0,,18,41.916666666666664,4.25
bhavu14,,958,830,False,True,0,,77,0,0
pooja.satish,,362,361,False,True,0,,11,0,0
fleuriesbi,,14,94,False,False,0,,6,29.333333333333332,1.8333333333333333
francoisduris,Creators & Celebrities,330,543,False,False,0,,95,158.08333333333334,14.416666666666666
icccyyywrisss,Creators & Celebrities,1248,2317,False,False,0,,0,0,0
joerg.fedkovic,,94,143,False,False,0,,51,43.666666666666664,2.5
carlottacara,,550,953,False,False,4,,5648,48.75,2.5
demetriuschaskis,,89,270,False,False,0,,83,37.916666666666664,1.75
yangchongxing,,17,9,False,False,0,,0,0,0
chaney.photo,Creators & Celebrities,343,3255,False,False,0,,57,73.08333333333333,5.5
the_irish_guitarist,,393,1611,False,True,0,,144,0,0
